county_fips,county_name,McCount,state_fips,state_code,state_name,lat,lon
12086,Miami-Dade,98,12,FL,Florida,25.789141,-80.140924
12086,Miami-Dade,98,12,FL,Florida,25.765501,-80.218683
12086,Miami-Dade,98,12,FL,Florida,25.849872,-80.185108
12086,Miami-Dade,98,12,FL,Florida,25.550894,-80.37197
12086,Miami-Dade,98,12,FL,Florida,25.579132,-80.36734
12086,Miami-Dade,98,12,FL,Florida,25.83273,-80.206753
12086,Miami-Dade,98,12,FL,Florida,25.701277,-80.292742
12086,Miami-Dade,98,12,FL,Florida,25.895759,-80.162258
12086,Miami-Dade,98,12,FL,Florida,25.715959,-80.274593
12086,Miami-Dade,98,12,FL,Florida,25.749746,-80.248185
12086,Miami-Dade,98,12,FL,Florida,25.764843,-80.241236
12086,Miami-Dade,98,12,FL,Florida,25.736552,-80.246245
12086,Miami-Dade,98,12,FL,Florida,25.940145,-80.121811
12086,Miami-Dade,98,12,FL,Florida,25.809094,-80.232268
12086,Miami-Dade,98,12,FL,Florida,25.636053,-80.336198
12086,Miami-Dade,98,12,FL,Florida,25.926693,-80.155511
12086,Miami-Dade,98,12,FL,Florida,25.60092,-80.352483
12086,Miami-Dade,98,12,FL,Florida,25.578119,-80.336189
12086,Miami-Dade,98,12,FL,Florida,25.791846,-80.210668
12086,Miami-Dade,98,12,FL,Florida,25.809965,-80.189163
12086,Miami-Dade,98,12,FL,Florida,25.773374,-80.211831
12086,Miami-Dade,98,12,FL,Florida,25.778003,-80.190172
12086,Miami-Dade,98,12,FL,Florida,25.766632,-80.198866
12087,Monroe,3,12,FL,Florida,25.004612,-80.522609
12086,Miami-Dade,98,12,FL,Florida,25.790393,-80.132056
12086,Miami-Dade,98,12,FL,Florida,25.889943,-80.186104
12086,Miami-Dade,98,12,FL,Florida,25.763235,-80.26286
12086,Miami-Dade,98,12,FL,Florida,25.477004,-80.434625
12086,Miami-Dade,98,12,FL,Florida,25.652864,-80.329566
25015,Hampshire,5,25,MA,Massachusetts,42.359058,-72.548571
12086,Miami-Dade,98,12,FL,Florida,25.859774,-80.210077
12086,Miami-Dade,98,12,FL,Florida,25.927849,-80.171653
25013,Hampden,26,25,MA,Massachusetts,42.059766,-72.63304
25013,Hampden,26,25,MA,Massachusetts,42.115792,-72.623996
9003,Hartford,37,9,CT,Connecticut,42.024178,-72.585335
25013,Hampden,26,25,MA,Massachusetts,42.142832,-72.553449
25013,Hampden,26,25,MA,Massachusetts,42.095501,-72.603842
25013,Hampden,26,25,MA,Massachusetts,42.143127,-72.489609
25013,Hampden,26,25,MA,Massachusetts,42.120846,-72.584841
9003,Hartford,37,9,CT,Connecticut,41.989307,-72.579974
25013,Hampden,26,25,MA,Massachusetts,42.136741,-72.517735
25013,Hampden,26,25,MA,Massachusetts,42.166754,-72.5461
25013,Hampden,26,25,MA,Massachusetts,42.091392,-72.580214
25013,Hampden,26,25,MA,Massachusetts,42.197536,-72.574613
25013,Hampden,26,25,MA,Massachusetts,42.105233,-72.596393
25013,Hampden,26,25,MA,Massachusetts,42.111436,-72.565496
25013,Hampden,26,25,MA,Massachusetts,42.113693,-72.72693
25013,Hampden,26,25,MA,Massachusetts,42.134205,-72.741664
25013,Hampden,26,25,MA,Massachusetts,42.025836,-72.785437
25013,Hampden,26,25,MA,Massachusetts,42.111282,-72.604074
25013,Hampden,26,25,MA,Massachusetts,42.164688,-72.613644
9003,Hartford,37,9,CT,Connecticut,41.998263,-72.583619
25013,Hampden,26,25,MA,Massachusetts,42.205811,-72.610596
